customer_id,churn_status,subscription_tier,tenure_months,industry,company_size,region,primary_pain_point,satisfaction_at_exit,repurchase_intent,win_back_receptive,support_tickets_filed,recommended_to_others,monthly_recurring_revenue,open_ended_feedback,sentiment_score,sentiment_category
C0001,Churned,Enterprise,19,Technology,51-200 employees,West,Product Quality,1,1,No,5,Yes,1160,Core features promised during the sales process are still not available after months of waiting.,0.3612,Positive
C0002,Retained,Pro,27,Technology,51-200 employees,Midwest,Product Quality,3,4,,1,No,163,Despite some issues the platform generally meets our needs and the team has adapted well.,0.2732,Positive
C0003,Churned,Enterprise,5,Healthcare,1-10 employees,South,Competitor Switch,3,2,No,6,Yes,590,The competing platform integrates natively with our CRM which made the decision straightforward.,0.0,Neutral
C0004,Retained,Basic,45,Education,201+ employees,South,Onboarding & Usability,4,4,,3,No,77,Support has improved recently and we are seeing more value from the Enterprise features.,0.8173,Positive
C0005,Churned,Basic,19,Finance,1-10 employees,West,Pricing & Value,2,2,No,5,No,93,Add-on fees for features we assumed were included made the total cost far higher than expected.,0.0,Neutral
C0006,Churned,Basic,30,Retail,11-50 employees,Northeast,Pricing & Value,2,1,No,2,No,76,The ROI is simply not there. We cannot justify this cost to our leadership team.,0.0,Neutral
C0007,Churned,Pro,6,Finance,1-10 employees,Midwest,Product Quality,2,2,No,7,No,175,Core features promised during the sales process are still not available after months of waiting.,0.3612,Positive
C0008,Retained,Pro,37,Technology,11-50 employees,Northeast,Pricing & Value,3,5,,2,No,184,We evaluated alternatives but the switching cost and migration risk outweighed the benefits.,0.1901,Positive
C0009,Retained,Pro,11,Retail,1-10 employees,Midwest,Pricing & Value,4,4,,2,Yes,277,We evaluated alternatives but the switching cost and migration risk outweighed the benefits.,0.1901,Positive
C0010,Churned,Pro,16,Technology,1-10 employees,South,Product Quality,1,1,Yes,2,No,210,Core features promised during the sales process are still not available after months of waiting.,0.3612,Positive
